Accident_ID,Accident_Date,Time,Day_of_Week,Sunrise_Sunset,City,State,Country,Area_Type,Junction_Type,Light_Condition,Road_Surface_Type,Road_Condition,Weather,Temperature,Visibility,Wind_Speed,Humidity,Vehicle_Type,No_of_Vehicles,Vehicle_Service_Year,Driver_Age_Band,Driver_Gender,Driving_Experience,Injuries,Fatalities,Casualty_Class,Casualty_Severity,Accident_Severity,Accident_Cause,Alcohol_Involved,Emergency_Response_Time
1,2023-01-31,22:23,Tuesday,Night,Pune,TS,India,Urban,Unknown,Dark,Concrete,Wet,Clear,42.2,3.6,34.1,64,Bus,3,15,46-60,Female,Beginner,4,1,Passenger,Serious,Minor,Weather,No,9
2,2023-12-30,10:45,Saturday,Night,Delhi,TS,India,Urban,Unknown,Street Light,Concrete,Dry,Foggy,42.2,3.6,34.1,64,Auto,5,19,26-35,Male,Unknown,6,0,Passenger,Fatal,Minor,Overspeeding,No,13
3,2022-05-10,01:54,Tuesday,Night,Mumbai,WB,India,Urban,Roundabout,Daylight,Gravel,Unknown,Clear,42.2,3.6,34.1,64,Bus,4,3,18-25,Male,Unknown,4,0,Unknown,Minor,Fatal,Signal Jump,Yes,59
4,2023-07-18,04:58,Tuesday,Day,Bengaluru,DL,India,Urban,Crossroad,Dark,Concrete,Damaged,Foggy,42.2,3.6,34.1,64,Bike,4,14,46-60,Male,Intermediate,6,3,Driver,Serious,Major,Overspeeding,No,50
5,2023-02-04,04:50,Saturday,Night,Hyderabad,WB,India,Urban,Unknown,Unknown,Concrete,Wet,Stormy,42.2,3.6,34.1,64,Bus,1,2,Unknown,Female,Intermediate,4,0,Pedestrian,Minor,Major,Unknown,No,38
6,2022-12-31,20:11,Saturday,Night,Hyderabad,WB,India,Rural,Unknown,Daylight,Gravel,Wet,Unknown,42.2,3.6,34.1,64,Bike,3,16,Unknown,Male,Beginner,0,3,Pedestrian,Minor,Major,Weather,No,32
7,2022-11-10,17:03,Thursday,Day,Pune,MH,India,Rural,Crossroad,Street Light,Gravel,Unknown,Clear,42.2,3.6,34.1,64,Truck,4,17,46-60,Unknown,Beginner,5,1,Unknown,Serious,Major,Signal Jump,No,30
8,2020-05-01,21:48,Friday,Night,Delhi,MH,India,Highway,Crossroad,Dark,Concrete,Wet,Unknown,42.2,3.6,34.1,64,Car,5,15,46-60,Male,Experienced,6,3,Pedestrian,Minor,Major,Signal Jump,Yes,58
9,2021-04-11,09:19,Sunday,Night,Delhi,TN,India,Rural,T-Junction,Unknown,Concrete,Wet,Clear,42.2,3.6,34.1,64,Car,1,13,Unknown,Male,Experienced,7,3,Driver,Minor,Fatal,Signal Jump,No,39
10,2023-05-23,05:24,Tuesday,Day,Kolkata,DL,India,Urban,T-Junction,Unknown,Asphalt,Unknown,Clear,42.2,3.6,34.1,64,Bus,3,12,36-45,Male,Beginner,2,0,Driver,Minor,Major,Unknown,Yes,5
